"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1530","Eukaryota","Cercozoa","unknown","Thaumatomonadida","Thaumatomastigidae","g_","s_"
"ASV_1531","Eukaryota","unknown","Raphidophyceae","Chattonellales","Chattonellaceae","Heterosigma","Heterosigma akashiwo"
"ASV_1532","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","g_","s_"
"ASV_1533","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1538","Eukaryota","Cercozoa","Thecofilosea","unknown","unknown","g_","s_"
"ASV_1541","Eukaryota","Rotifera","Monogononta","Ploima","Trichocercidae","Trichocerca","Trichocerca elongata"
"ASV_1542","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1544","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","g_","s_"
"ASV_1546","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1550","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Amphilothaceae","Achradina","Achradina pulchra"
"ASV_1552","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1553","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","unassigned","unassigned","unassigned"
"ASV_1554","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"ASV_1557","Eukaryota","Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae","g_","s_"
"ASV_1563","Eukaryota","unknown","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"ASV_1567","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","g_","s_"
"ASV_1568","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","g_","s_"
"ASV_1569","Eukaryota","Cryptophyta","unknown","Pyrenomonadales","Geminigeraceae","g_","s_"
"ASV_1570","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"ASV_1572","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1575","Eukaryota","unknown","Polycystinea","unassigned","unassigned","unassigned","unassigned"
"ASV_1576","Eukaryota","Cryptophyta","unknown","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","unassigned"
"ASV_1577","Eukaryota","Bacillariophyta","Fragilariophyceae","Protoraphidales","Protoraphidaceae","g_","s_"
"ASV_1578","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","unassigned"
"ASV_1586","Eukaryota","unknown","Polycystinea","unassigned","unassigned","unassigned","unassigned"
"ASV_1588","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","s_"
"ASV_1591","Eukaryota","unknown","Haptophyta","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina strobilus"
"ASV_1593","Eukaryota","unknown","Dinophyceae","Dinophysiales","Dinophysiaceae","Dinophysis","s_"
"ASV_1597","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1598","Eukaryota","unknown","Haptophyta","Prymnesiales","Prymnesiaceae","unassigned","s_"
"ASV_1606","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1610","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1611","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1612","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellidae","Tintinnopsis","Tintinnopsis sp. JG-2011a"
"ASV_1615","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Melosirales","Stephanopyxidaceae","g_","s_"
"ASV_1618","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1620","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1621","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1625","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"ASV_1626","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1628","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1630","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Amphidomataceae","g_","s_"
"ASV_1633","Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_1644","Eukaryota","unknown","unknown","Pirsoniales","unknown","g_","s_"
"ASV_1647","Eukaryota","unknown","Dinophyceae","Peridiniales","Peridiniaceae","g_","s_"
"ASV_1650","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1651","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Ceratiaceae","Tripos","s_"
"ASV_1653","Eukaryota","unknown","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium leonis"
"ASV_1656","Eukaryota","unknown","unknown","unknown","unknown","unknown","s_"
"ASV_1663","Eukaryota","Ciliophora","Spirotrichea","unknown","Strombidiidae","Spirostrombidium","s_"
"ASV_1669","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1671","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","g_","s_"
"ASV_1674","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","unassigned","unassigned"
"ASV_1676","Eukaryota","unknown","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"ASV_1679","Eukaryota","unknown","unknown","unknown","unknown","Solenicola","s_"
"ASV_1681","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1683","Eukaryota","unknown","unknown","Telonemida","unknown","g_","s_"
"ASV_1686","Eukaryota","unknown","Dinophyceae","Syndiniales","Eudubosquellidae","Euduboscquella","unassigned"
"ASV_1688","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1691","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","g_","s_"
"ASV_1696","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1700","Eukaryota","unknown","unknown","Telonemida","unknown","g_","s_"
"ASV_1702","Eukaryota","unknown","Polycystinea","Nassellaria","Plagiacanthidae","g_","s_"
"ASV_1703","Eukaryota","unknown","Dinophyceae","Suessiales","unknown","Dactylodinium","unassigned"
"ASV_1713","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","s_"
"ASV_1714","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"ASV_1715","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1717","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1721","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Gonyaulax","Gonyaulax spinifera"
"ASV_1732","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","unassigned"
"ASV_1734","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1742","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1744","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1747","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Gonyaulacaceae","g_","s_"
"ASV_1752","Eukaryota","unknown","Katablepharidophyta","unknown","Katablepharidaceae","Leucocryptos","Leucocryptos marina"
"ASV_1753","Eukaryota","Chlorophyta","unknown","Pyramimonadales","unknown","Cymbomonas","Cymbomonas tetramitiformis"
"ASV_1756","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1760","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1764","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","g_","s_"
"ASV_1766","Eukaryota","Ciliophora","Prostomatea","Prorodontida","unknown","Hexasterias","Hexasterias problematica"
"ASV_1767","Eukaryota","Cercozoa","unknown","Thaumatomonadida","unknown","g_","s_"
"ASV_1769","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Salpingella","Salpingella acuminata"
"ASV_1770","Eukaryota","Cercozoa","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","s_"
"ASV_1772","Eukaryota","Ciliophora","Spirotrichea","unknown","Tontoniidae","Pseudotontonia","Pseudotontonia simplicidens"
"ASV_1779","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","s_"
"ASV_1784","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1785","Eukaryota","unknown","unknown","Sticholonchida","Sticholonchidae","g_","s_"
"ASV_1788","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"ASV_1790","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1795","Eukaryota","unknown","Katablepharidophyta","unknown","Katablepharidaceae","Leucocryptos","Leucocryptos marina"
"ASV_1798","Eukaryota","unknown","Dinophyceae","Syndiniales","Amoebophryaceae","g_","s_"
"ASV_1803","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_1806","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Ensiculifera","s_"
"ASV_1807","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1808","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1809","Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_1810","Eukaryota","unknown","Diplonemea","Diplonemea","unknown","g_","s_"
"ASV_1812","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","s_"
"ASV_1813","Eukaryota","unknown","Haptophyta","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina strobilus"
"ASV_1814","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1815","Eukaryota","unknown","Diplonemea","Diplonemea","unknown","g_","s_"
"ASV_1817","Eukaryota","unknown","Bolidophyceae","Parmales","Triparmaceae","Triparma","unassigned"
"ASV_1828","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","unassigned","unassigned"
"ASV_1829","Eukaryota","Chlorophyta","unknown","Pyramimonadales","unknown","Pyramimonas","Pyramimonas australis"
"ASV_1830","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Ensiculifera","Ensiculifera imariensis"
"ASV_1841","Eukaryota","unknown","Labyrinthulomycetes","unknown","Thraustochytriaceae","unassigned","unassigned"
"ASV_1844","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1846","Eukaryota","Cercozoa","unknown","Cercomonadida","Cercomonadidae","g_","s_"
"ASV_1849","Eukaryota","unknown","Phaeophyceae","Sphacelariales","unknown","g_","s_"
"ASV_1856","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_1861","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_1862","Eukaryota","unknown","Katablepharidophyta","unknown","Katablepharidaceae","Katablepharis","Katablepharis japonica"
