#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Rhodobacterales_D_4__Rhodobacteraceae$0d3c121c46073e92f589c813dec2e2f7	83	107	79	234	27	208	0	1669	0	351	0	1249	0	1249	35	655
D_3__Flavobacteriales_D_4__Flavobacteriaceae$22d75d32a62a56887fedba2d7332c037	36	14	126	89	2130	34	1068	110	1135	89	985	398	901	129	103	15
D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97	0	0	313	75	789	261	1782	376	1100	241	394	840	876	267	18	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4	0	0	28	8	0	0	0	9	0	0	0	0	12	13	88	235
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5a1835cd9ff41a02570aff164c19c7a8	0	0	0	0	12	5177	0	1747	0	0	100	24	0	0	0	0
D_3__Pseudomonadales_D_4__Moraxellaceae$5fa6b2085b9841c2013c9e6a2f68f9b4	0	0	256	58	786	3749	694	751	117	39	23	97	80	42	0	43
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d9a152876ab4cd967249ac1d3c021d0c	499	491	72	516	58	973	30	305	0	291	7	652	76	967	127	940
D_3__Puniceispirillales_D_4__SAR116_clade$6f9af960c0ba3389927d3db7ce6b03bd	553	373	749	289	1322	243	523	210	578	229	441	180	191	305	159	345
D_3__Flavobacteriales_D_4__NS9_marine_group$96ac251abe7f4f28b168680036dc43e4	106	167	997	190	903	598	241	46	70	44	37	25	351	36	0	361
D_3__Bacteroidetes_VC2.1_Bac22_D_4__uncultured_alpha_proteobacterium$2cef76032972ecfe6ec7a0d9360fc6b7	9	8	33	9	2	20	708	25	643	21	149	9	594	24	0	56
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$e991b2d81b5dc27ff1d13867129a6454	225	338	275	705	131	383	51	1105	0	850	18	533	22	634	40	671
D_3__Nitrospinales_D_4__Nitrospinaceae$f95b8514cb06df776c13f10d2022759d	84	134	121	67	0	12	12	243	0	78	0	96	0	152	35	1148
D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5	518	439	303	396	504	496	509	442	390	211	273	197	453	272	172	470
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f457235b5c205ba3bfc6a10ce27f6042	37	31	0	11	0	522	0	193	0	110	0	739	0	329	4557	37
D_3__Flavobacteriales_D_4__NS9_marine_group$69dfae1be25dc470c35ca5d85dd53f94	371	424	388	298	625	372	407	94	939	330	576	687	214	153	196	360
D_3__Rhodobacterales_D_4__Rhodobacteraceae$da4cb3a14b4cfc34e0e97724839f0bb3	587	436	246	706	346	544	67	670	12	499	0	366	0	370	77	717
D_3__Flavobacteriales_D_4__Flavobacteriaceae$34538ec193c0d16e24a471285d720f05	0	0	0	12	5	4091	9	1866	0	72	34	151	0	0	0	0
D_3__Flavobacteriales_D_4__NS9_marine_group$22c488fb052c9e837e1ad53b31cc4c5f	719	480	166	539	24	659	0	747	0	309	0	660	0	1436	35	394
D_3__Flavobacteriales_D_4__NS7_marine_group$42037215dd97865bd8d857b6a2d97dc8	476	407	97	269	805	319	706	447	168	134	192	103	42	176	1708	199
D_3__SAR11_clade_D_4__Clade_I$76629fe6124e30ea71d065c8ffdc1494	883	585	121	624	198	468	0	490	0	206	0	209	0	360	0	1008
D_3__Flavobacteriales_D_4__Crocinitomicaceae$aad79f2610d20d9f1cf61038dd343726	338	372	36	1984	0	105	0	75	0	1574	0	422	0	547	218	500
D_3__Oceanospirillales_D_4__Saccharospirillaceae$5e7ca03cd4b3c77b4a228d08006aa8ab	0	0	61	31	0	42	0	46	0	0	0	0	0	16	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$53d820cf8a52ed610c6d004a2d4817b2	0	0	236	55	0	66	559	61	328	21	144	68	2486	28	0	0
D_3__Cellvibrionales_D_4__Halieaceae$4e22c13129c4ca2fce51d45c88288f5f	320	311	324	581	933	483	278	400	246	444	99	411	134	389	261	403
D_3__Rhodobacterales_D_4__Rhodobacteraceae$ba9401097ffe3f8b33bcff3fb324537d	32	100	513	96	23	128	392	124	352	46	71	44	31	83	67	71
D_3__Synechococcales_D_4__Cyanobiaceae$d702f8824185524798e6fd644b0743a4	61	191	57	309	27	21	33	88	25	57	0	254	0	145	25	2577
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7922de249e191a4787ccf1b87f1c5598	0	0	59	0	0	0	29	0	0	0	16	0	0	0	62	0
D_3__Puniceispirillales_D_4__SAR116_clade$bed83ae325ff851eebe97580f3f6489e	239	139	602	148	1537	132	296	148	672	224	781	174	225	294	109	154
D_3__Nitrosococcales_D_4__Methylophagaceae$380e00c956b387490d0d22cf7e654f7a	20	49	857	28	1108	0	548	11	465	0	1046	0	1569	5	179	12
D_3__Caulobacterales_D_4__Caulobacteraceae$40dd03bfadc6647c1d86abfa7a0494b5	274	42	243	64	137	90	141	18	83	34	30	59	88	0	121	338
D_3__Phycisphaerales_D_4__Phycisphaeraceae$aadbfa4b0e9c63ac92ca592fde1c054c	206	301	522	442	142	461	82	787	13	262	13	292	49	421	47	571
D_3__Rhodothermales_D_4__Rhodothermaceae$e09a56fd2063b4e22396d74ecc319cd8	203	238	128	364	39	182	74	604	8	148	3	507	0	794	53	724
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0d4d9eecd6186980b396dbfadc07892b	40	52	275	32	345	112	390	32	892	58	1953	46	561	13	915	45
D_3__PeM15$a51561d95d7a240b83bc0d94cc628c48	404	333	420	402	253	253	542	210	67	81	66	104	345	160	223	244
D_3__Micrococcales_D_4__Microbacteriaceae$057db92f77a9906591e6f823afdc74fc	1223	1426	39	1106	6	673	17	123	6	128	11	38	76	56	16	694
D_3__Rhodobacterales_D_4__Rhodobacteraceae$f4459f0a831fbc15897d72ec3c84b42e	0	0	0	0	0	0	0	0	0	0	67	0	5668	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1bfc658277bef73598ad821b03c3b0c8	377	220	156	488	87	670	25	84	22	327	62	662	240	382	1338	421
D_3__Flavobacteriales_D_4__Crocinitomicaceae$440d0b23f698e16a796bc163105a77af	0	0	0	0	922	0	1914	2120	23	62	106	212	191	29	0	0
D_3__Verrucomicrobiales_D_4__DEV007$4794a74ee8cfef390132d947fd723fcf	304	365	79	235	341	105	359	97	262	56	94	25	2524	30	6	430
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4501351cc0ad924617eaabd3baea7477	0	0	165	24	138	4457	65	52	109	19	27	64	10	17	93	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$aa128d80613e1dbe386fe51ab0810bd9	1363	846	121	646	92	231	11	112	0	252	0	256	4	291	259	896
