#OTUID	KOSMOSD15_M1AS_TT	KOSMOSD15_MPAS_TT	KOSMOSD1_M1BS_TT	KOSMOSD1_MPBS_TT	KOSMOSD24_M1AS_TT	KOSMOSD24_MPAS_TT	KOSMOSD32_M1AS_TT	KOSMOSD32_MPAS_TT	KOSMOSD36_M1AS_TT	KOSMOSD36_MPAS_TT	KOSMOSD42_M1AS_TT	KOSMOSD42_MPAS_TT	KOSMOSD48_M1AS_TT	KOSMOSD48_MPAS_TT	KOSMOSD8_M1AS_TT	KOSMOSD8_MPAS_TT
ASV_28206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_28207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_28218	41	9	47	41	1	27	0	1	0	88	2	12	14	8	105	11
ASV_28219	26	15	22	13	4	20	0	3	0	88	0	29	8	24	15	12
ASV_28221	35	0	0	2	36	1	40	1	11	7	13	0	15	0	6	2
ASV_28222	22	5	1	3	2	17	3	1	5	67	5	18	7	4	8	1
ASV_28225	6	4	7	21	1	3	3	1	2	8	0	6	5	4	13	2
ASV_28229	0	1	4	3	0	3	0	1	0	39	0	11	0	7	9	1
ASV_28231	0	0	0	0	0	0	0	0	12	0	56	0	2	0	0	0
ASV_28232	0	0	3	54	0	0	0	0	0	4	0	0	0	0	0	0
ASV_28234	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28236	15	1	2	4	0	5	0	0	0	7	1	3	0	0	14	3
ASV_28238	0	2	0	0	1	0	1	0	0	0	1	0	2	0	0	0
ASV_28239	5	1	7	8	5	3	3	0	1	9	0	0	2	1	0	2
ASV_28240	4	1	0	3	0	4	0	1	0	19	0	12	0	0	2	2
ASV_28242	7	0	4	9	1	0	0	0	1	8	0	3	0	1	6	0
ASV_28246	5	5	19	3	0	1	0	0	0	3	0	0	0	0	3	0
ASV_28247	0	4	1	0	0	4	0	0	0	11	0	2	0	2	0	0
ASV_28250	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_28252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_28253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_28254	29	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0
ASV_28255	4	0	0	0	1	1	3	0	1	5	4	0	0	1	4	0
ASV_28256	0	0	0	2	0	0	2	0	1	0	28	0	0	0	0	0
