sampling.day,mesocosm,value,parameter
8,2,3.34,BSi
12,2,2.43,BSi
13,2,2.7,BSi
14,2,3.68,BSi
15,2,3.21,BSi
16,2,2.71,BSi
17,2,2.65,BSi
18,2,2.06,BSi
20,2,1.67,BSi
22,2,1.14,BSi
24,2,0.64,BSi
26,2,0.6,BSi
28,2,0.31,BSi
30,2,0.4,BSi
32,2,0.49,BSi
34,2,0.86,BSi
36,2,0.97,BSi
38,2,0.6,BSi
40,2,0.22,BSi
42,2,0.8,BSi
44,2,2.96,BSi
46,2,1.21,BSi
48,2,0.86,BSi
50,2,1.14,BSi
1,3,3.51,BSi
2,3,3.48,BSi
3,3,3.81,BSi
4,3,3.15,BSi
6,3,2.63,BSi
8,3,4.72,BSi
12,3,2.98,BSi
13,3,2.81,BSi
14,3,2.71,BSi
15,3,2.38,BSi
16,3,2.18,BSi
17,3,2.04,BSi
18,3,1.54,BSi
20,3,1.27,BSi
22,3,1.24,BSi
24,3,0.75,BSi
26,3,0.68,BSi
28,3,0.45,BSi
30,3,0.61,BSi
32,3,0.45,BSi
34,3,0.3,BSi
36,3,0.7,BSi
38,3,0.69,BSi
40,3,0.42,BSi
42,3,0.46,BSi
44,3,1.11,BSi
46,3,0.74,BSi
48,3,0.66,BSi
50,3,0.8,BSi
1,4,3.68,BSi
2,4,3.7,BSi
3,4,3.76,BSi
4,4,3.43,BSi
6,4,2.19,BSi
8,4,3.01,BSi
12,4,2.44,BSi
13,4,1.77,BSi
14,4,1.42,BSi
15,4,1.04,BSi
16,4,1.06,BSi
17,4,0.85,BSi
18,4,0.56,BSi
20,4,0.53,BSi
22,4,0.56,BSi
24,4,0.52,BSi
26,4,0.44,BSi
28,4,0.47,BSi
30,4,0.68,BSi
32,4,0.74,BSi
34,4,0.82,BSi
36,4,1.93,BSi
38,4,1.8,BSi
40,4,1.05,BSi
42,4,0.8,BSi
44,4,1.34,BSi
46,4,0.79,BSi
48,4,0.58,BSi
50,4,0.67,BSi
1,5,2.7,BSi
2,5,3.57,BSi
3,5,3.6,BSi
4,5,4.67,BSi
6,5,3.78,BSi
8,5,3.5,BSi
12,5,2.66,BSi
13,5,2.85,BSi
14,5,2.54,BSi
15,5,3.06,BSi
16,5,2.43,BSi
17,5,1.85,BSi
18,5,1.16,BSi
20,5,0.7,BSi
22,5,0.67,BSi
24,5,0.47,BSi
26,5,0.39,BSi
28,5,0.43,BSi
30,5,0.49,BSi
32,5,0.59,BSi
34,5,0.63,BSi
36,5,1.01,BSi
38,5,0.79,BSi
40,5,0.99,BSi
42,5,0.62,BSi
44,5,0.84,BSi
46,5,0.81,BSi
48,5,0.74,BSi
50,5,1.04,BSi
1,6,3.43,BSi
2,6,3.67,BSi
3,6,4.62,BSi
4,6,5,BSi
6,6,3.17,BSi
8,6,3.46,BSi
12,6,4.05,BSi
13,6,3.88,BSi
14,6,5.08,BSi
15,6,4.4,BSi
16,6,4.53,BSi
17,6,3.13,BSi
18,6,1.9,BSi
20,6,1.2,BSi
22,6,0.97,BSi
24,6,0.66,BSi
26,6,0.37,BSi
28,6,0.34,BSi
30,6,0.52,BSi
32,6,0.43,BSi
34,6,0.36,BSi
36,6,0.63,BSi
38,6,0.59,BSi
40,6,0.44,BSi
42,6,0.3,BSi
44,6,0.75,BSi
46,6,0.61,BSi
48,6,0.64,BSi
50,6,0.96,BSi
1,7,2.48,BSi
2,7,3.3,BSi
3,7,5.17,BSi
4,7,5.88,BSi
6,7,3.48,BSi
8,7,4.31,BSi
12,7,4.04,BSi
13,7,4.68,BSi
14,7,5.93,BSi
15,7,5.24,BSi
16,7,4.02,BSi
17,7,3.1,BSi
18,7,2.07,BSi
20,7,1.35,BSi
22,7,0.85,BSi
24,7,0.79,BSi
26,7,0.41,BSi
28,7,0.23,BSi
30,7,0.38,BSi
32,7,0.49,BSi
34,7,0.47,BSi
36,7,0.97,BSi
38,7,0.85,BSi
40,7,0.8,BSi
42,7,0.79,BSi
44,7,0.8,BSi
46,7,0.66,BSi
48,7,0.6,BSi
50,7,0.85,BSi
1,8,2.55,BSi
2,8,3.22,BSi
3,8,4.06,BSi
4,8,5.14,BSi
6,8,3.43,BSi
8,8,3.41,BSi
12,8,2.51,BSi
13,8,2.83,BSi
14,8,3.41,BSi
15,8,2.89,BSi
16,8,2.43,BSi
17,8,2.35,BSi
18,8,1.63,BSi
20,8,1.16,BSi
22,8,0.89,BSi
24,8,0.8,BSi
26,8,0.53,BSi
28,8,0.44,BSi
30,8,0.46,BSi
32,8,0.53,BSi
34,8,0.37,BSi
36,8,0.55,BSi
38,8,0.82,BSi
40,8,1.09,BSi
42,8,1.66,BSi
44,8,1.97,BSi
46,8,1.56,BSi
48,8,0.91,BSi
50,8,1.03,BSi
3,10,2.54,BSi
4,10,2.1,BSi
6,10,1.65,BSi
8,10,1.82,BSi
12,10,3.8,BSi
14,10,4.02,BSi
16,10,6.19,BSi
18,10,6.39,BSi
20,10,4.25,BSi
22,10,5.38,BSi
24,10,5.75,BSi
26,10,4.38,BSi
28,10,5.66,BSi
30,10,2.9,BSi
32,10,2.11,BSi
34,10,2.26,BSi
36,10,3.58,BSi
38,10,2.3,BSi
40,10,3.94,BSi
42,10,4.36,BSi
44,10,5.68,BSi
46,10,5.33,BSi
48,10,7.22,BSi
50,10,6.62,BSi
1,1,5.441123188,CN
2,1,5.940668824,CN
