#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_8080	16	259	1	30	0	28	13	1	9	117	207	3462	104	251	660	26
ASV_8083	0	35	155	44	0	42	0	20	0	8	2	674	48	5771	745	53
ASV_8084	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8086	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	61
ASV_8088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_8089	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ASV_8092	0	4	162	76	0	0	0	103	0	1	0	3	0	10	0	0
ASV_8095	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_8097	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0
ASV_8098	19	79	20	25	1361	66	1265	40	4819	0	905	24	1155	42	5	64
ASV_8102	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8106	0	1	1	1	0	0	0	0	1	7	0	5	0	29	6	1
ASV_8109	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
ASV_8115	0	0	0	0	0	0	0	198	0	0	0	98	0	0	0	0
ASV_8121	705	29	7	23	2344	26	1290	12	4050	2	3	50	14	375	0	22
ASV_8122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_8125	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4
ASV_8131	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ASV_8137	0	0	1	0	0	0	0	1	0	0	1	1	0	7	0	2
ASV_8142	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8143	7	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0
ASV_8146	335	45	86	127	1084	108	119	45	988	0	26	19	13	211	5	143
ASV_8147	17	0	0	0	73	0	36	11	215	0	0	0	0	5	0	0
ASV_8149	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8151	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8166	1	9	26	16	1	5	0	7	1	0	1	9	0	5	0	0
ASV_8190	3	131	210	61	0	85	0	378	35	340	10	272	10	2603	29	323
ASV_8192	0	9	0	29	404	44	165	52	340	0	150	0	828	21	0	23
ASV_8196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ASV_8200	0	0	0	0	0	0	2	0	36	0	46	0	38	0	0	0
ASV_8202	0	0	0	3	0	0	0	4	0	0	0	1	0	1	0	0
ASV_8205	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8220	0	0	0	0	0	0	0	0	0	0	0	87	0	6	0	0
ASV_8222	150	7	156	86	1183	20	183	7	77	0	5	1	2	7	0	10
ASV_8224	0	14	1	14	12	1	96	7	1733	0	2181	4	10156	6	1	4
