#OTUID	KOSMOSD15_M1AS_UU	KOSMOSD15_MPAS_UU	KOSMOSD1_M1BS_UU	KOSMOSD1_MPBS_UU	KOSMOSD24_M1AS_UU	KOSMOSD24_MPAS_UU	KOSMOSD32_M1AS_UU	KOSMOSD32_MPAS_UU	KOSMOSD36_M1AS_UU	KOSMOSD36_MPAS_UU	KOSMOSD42_M1AS_UU	KOSMOSD42_MPAS_UU	KOSMOSD48_M1AS_UU	KOSMOSD48_MPAS_UU	KOSMOSD8_M1AS_UU	KOSMOSD8_MPAS_UU
ASV_2166	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2167	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2174	0	128	63	39	0	7	0	11	0	26	0	176	0	615	6	38
ASV_2175	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_2176	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_2177	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV_2179	196	4	46	24	2	3	2	3	0	5	0	0	0	1	0	2
ASV_2181	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_2183	0	19	0	0	0	0	0	1	0	2	0	0	0	0	0	0
ASV_2190	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_2192	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2200	0	0	17	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_2201	0	0	0	0	0	3	0	0	0	0	0	8	0	19	0	0
ASV_2203	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_2210	3	12	4	4	0	139	0	59	0	164	2	427	13	16	0	4
ASV_2213	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
ASV_2214	80	233	751	369	2	746	1	278	0	178	8	197	0	384	4175	72
ASV_2216	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_2218	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_2224	0	0	67	9	0	0	0	0	0	4	0	0	0	1	0	0
ASV_2225	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_2227	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2231	0	0	0	0	0	0	0	4	0	2	0	4	0	0	0	0
ASV_2233	0	0	0	0	0	2	0	1	2	0	1	0	3	0	0	2
ASV_2235	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0
ASV_2239	0	6	0	0	0	0	0	0	0	81	0	0	0	0	0	0
ASV_2257	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2258	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_2272	0	0	0	0	0	0	1	0	0	2	0	0	0	6	0	0
ASV_2275	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2277	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2279	0	0	0	0	0	0	1	52	0	40	0	15	0	1	0	0
ASV_2285	0	8	27	13	0	1	0	1	1	0	2	0	2	0	6	4
ASV_2286	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_2288	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_2289	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_2291	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_2295	0	0	0	1	0	0	0	4	0	0	0	5	0	0	0	0
ASV_2296	0	41	39	72	0	11	0	19	0	3	0	9	0	0	0	107
ASV_2297	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV_2301	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_2302	0	3	0	1	0	4	1	7	0	0	2	2	22	0	0	0
ASV_2304	2	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
ASV_2308	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0
ASV_2311	0	3	2	4	0	2	0	0	0	0	0	3	0	2	0	0
ASV_2315	5	3	0	0	0	1	0	5	0	12	0	0	0	8	0	0
ASV_2330	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1
