#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Bacteroidetes_VC2.1_Bac22_D_4__uncultured_alpha_proteobacterium$2cef76032972ecfe6ec7a0d9360fc6b7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes_VC2.1_Bac22			
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$e991b2d81b5dc27ff1d13867129a6454	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	
D_3__Nitrospinales_D_4__Nitrospinaceae$f95b8514cb06df776c13f10d2022759d	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f457235b5c205ba3bfc6a10ce27f6042	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	
D_3__Flavobacteriales_D_4__NS9_marine_group$69dfae1be25dc470c35ca5d85dd53f94	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$da4cb3a14b4cfc34e0e97724839f0bb3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$34538ec193c0d16e24a471285d720f05	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
D_3__Flavobacteriales_D_4__NS9_marine_group$22c488fb052c9e837e1ad53b31cc4c5f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
D_3__Flavobacteriales_D_4__NS7_marine_group$42037215dd97865bd8d857b6a2d97dc8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS7_marine_group		
D_3__SAR11_clade_D_4__Clade_I$76629fe6124e30ea71d065c8ffdc1494	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	
D_3__Flavobacteriales_D_4__Crocinitomicaceae$aad79f2610d20d9f1cf61038dd343726	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Oceanospirillales_D_4__Saccharospirillaceae$5e7ca03cd4b3c77b4a228d08006aa8ab	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Oleispira	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$53d820cf8a52ed610c6d004a2d4817b2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Cellvibrionales_D_4__Halieaceae$4e22c13129c4ca2fce51d45c88288f5f	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$ba9401097ffe3f8b33bcff3fb324537d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Synechococcales_D_4__Cyanobiaceae$d702f8824185524798e6fd644b0743a4	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	
D_3__Puniceispirillales_D_4__SAR116_clade$bed83ae325ff851eebe97580f3f6489e	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
D_3__Nitrosococcales_D_4__Methylophagaceae$380e00c956b387490d0d22cf7e654f7a	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae		
D_3__Caulobacterales_D_4__Caulobacteraceae$40dd03bfadc6647c1d86abfa7a0494b5	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
D_3__Phycisphaerales_D_4__Phycisphaeraceae$aadbfa4b0e9c63ac92ca592fde1c054c	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	
D_3__Rhodothermales_D_4__Rhodothermaceae$e09a56fd2063b4e22396d74ecc319cd8	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0d4d9eecd6186980b396dbfadc07892b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
D_3__PeM15$a51561d95d7a240b83bc0d94cc628c48	Bacteria	Actinobacteria	Actinobacteria	PeM15			
D_3__Micrococcales_D_4__Microbacteriaceae$057db92f77a9906591e6f823afdc74fc	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus_Aquiluna	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$1bfc658277bef73598ad821b03c3b0c8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
D_3__Flavobacteriales_D_4__Crocinitomicaceae$440d0b23f698e16a796bc163105a77af	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Verrucomicrobiales_D_4__DEV007$4794a74ee8cfef390132d947fd723fcf	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4501351cc0ad924617eaabd3baea7477	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$aa128d80613e1dbe386fe51ab0810bd9	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	
D_3__Flavobacteriales_D_4__Crocinitomicaceae$413836610f329c5e0cb1bc80fbd460b3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
