#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__Microtrichales_D_4__Microtrichaceae$8e6b0b634afa67d98925a405d5c6ea45	647	993	469	196	977	267	164	493
D_3__SAR11_clade_D_4__Clade_I$9cf9dbc29cfd9e79d8260a69543c4ebd	527	509	458	399	155	348	404	726
D_3__SAR11_clade_D_4__Clade_I$2254682df5e48271de1302be391773d0	438	513	405	410	168	177	307	631
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$8d9b0b5cec68197ac9ad8a1802f29fd6	291	127	216	96	0	24	48	246
D_3__Parvibaculales_D_4__PS1_clade$3043d03bd8656e13196bdc5a2d4aef0d	120	199	632	52	151	1067	1010	105
D_3__Oceanospirillales_D_4__Saccharospirillaceae$2c7999f223a152e08873cd26598582ff	0	25	37	41	0	43	0	5
D_3__Flavobacteriales_D_4__NS9_marine_group$9f6160962d0fc548fcaf04a6e2e1548a	34	0	57	0	56	66	0	87
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$9c4f1bddeef9f25d444242dcb63e6b25	28	0	85	0	0	24	171	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1e4a9866a81c3f403c2d510bd14ba5d5	0	0	0	4	0	0	0	0
D_3__Puniceispirillales_D_4__SAR116_clade$daf35a770bc13b8d8670f5db3f63f3cc	113	176	69	42	56	0	0	141
4c68fd00fe098fb56ba48730225458ab$Unassigned	449	164	1116	279	102	399	344	236
D_3__Rhodobacterales_D_4__Rhodobacteraceae$6214a9c31713d97763917b01b62d3c2e	324	82	144	11	0	13	12	132
D_3__Flavobacteriales_D_4__Crocinitomicaceae$f2900a36591a636f8208f59ea894b81b	71	53	0	0	0	0	0	45
D_3__Cellvibrionales_D_4__Halieaceae$05e9a9d9d7d60f7fb08ec1b671fd51e9	310	333	403	131	296	287	355	606
D_3__Cellvibrionales_D_4__Porticoccaceae$e0a72fcbacef89e802959cfc22b91074	0	11	8	0	0	0	0	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$499e514e41b8058427559be6673d75d9	0	44	144	45	57	560	137	0
D_3__SAR11_clade_D_4__Clade_I$280ea4f589b04e5929d6c66d0e0e0783	141	332	297	389	137	196	455	595
D_3__Puniceispirillales_D_4__SAR116_clade$443f2724822d15767a4cc4f814bfb55e	376	410	386	196	236	92	256	317
D_3__Oceanospirillales_D_4__Nitrincolaceae$e136cb63ca70b1a49fc0c13d959beee6	0	0	5	31	0	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$0377bd854b482edcd93733587cf06f3e	16	4	0	81	117	25	121	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$582d8819844702401de8e8fbf6ae5c41	294	128	79	59	29	639	1867	88
D_3__Sphingomonadales_D_4__Sphingomonadaceae$644e31b98b70267606bc60888ed1a663	0	151	103	137	48	42	0	24
D_3__Nitrosococcales_D_4__Methylophagaceae$6d81fa4b6f3ad070339977833651ab23	12	9	9	0	0	0	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$25c2006b63d1dc07b5b1a99a511fe698	61	95	230	121	342	366	315	82
D_3__Rhodobacterales_D_4__Rhodobacteraceae$a94dc965388092c7cea2bdf6f0a49ec9	0	33	433	46	10	47	49	0
D_3__Balneolales_D_4__Balneolaceae$f5c2b41fd2dbfe46432f3132d42976a8	344	580	552	439	472	222	301	294
D_3__Puniceispirillales_D_4__SAR116_clade$a160e82b275fa5d85efb76525c1343cf	180	162	158	158	163	69	131	171
D_3__Flavobacteriales_D_4__NS9_marine_group$28f3a441db812e242849d3e615716a78	10	17	16	71	25	32	57	77
D_3__Parvibaculales_D_4__PS1_clade$45a92ef00fc39f16656069dc90534fab	0	0	96	14	0	44	72	0
D_3__Oceanospirillales_D_4__Nitrincolaceae$f6c42c28e35251c2d964822b6513b591	65	247	600	250	23	394	110	26
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8c5c645f45d6adc6e6855edcca0f19c4	225	605	138	252	130	492	426	532
D_3__SAR86_clade$3e7648d5867a34bdb6da919f913872fa	135	700	357	337	337	507	869	367
D_3__Flavobacteriales_D_4__Flavobacteriaceae$4e3b57449be7e85298be62ff4a1894a7	47	56	255	88	320	806	430	56
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1ab964cc3f147eb14d26c0ed58e238b9	38	114	154	216	10	450	250	25
D_3__Flavobacteriales_D_4__Flavobacteriaceae$32b8a31be3f1aeb80b002054b4c88806	187	658	137	66	101	86	227	285
a891566a5dcbc084c9a9ca274a07946e$Unassigned	0	0	0	6	0	0	0	7
D_3__Sphingomonadales_D_4__Sphingomonadaceae$03f6ee3b2fd107b28848749b78775ae7	0	0	0	0	0	0	0	39
$44af8f9799e24e68482a66ca6962e9e4	214	590	79	58	45	109	180	801
D_3__OM182_clade$4280e5ba8f9a4f1880e5493432a1590d	31	171	72	284	93	193	260	296
D_3__Anaerolineales_D_4__Anaerolineaceae$3653bf4a447a54198ac86947187a8419	0	0	0	14	13	0	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$99eb1afb26680e2a0c99615b17ab564c	0	0	5	16	0	0	0	0
D_3__Planctomycetales_D_4__Rubinisphaeraceae$5030bd080490d6d601bcf7279402dcb2	9	20	12	133	123	55	224	423
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e719bb5928afa36cb77307ef4631c759	0	39	78	77	0	68	0	0
D_3__Oceanospirillales_D_4__Oleiphilaceae$cc600cdbd8336cad20d9df7111e0a26a	0	5	16	29	0	22	0	0
D_3__SAR11_clade_D_4__Clade_I$ba4ff6c17316205ee137a2af348d9a9c	287	375	289	600	220	310	358	461
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$5a8c42d09b5bfe581dcba03cb3f183fd	440	465	353	537	550	112	134	238
D_3__Oceanospirillales_D_4__Nitrincolaceae$dab4bf3183d7723cddc99ce6a9113271	0	45	23	10	0	42	13	6
4fdeb5131b2807beee20b168640ad000$Unassigned	1256	84	55	47	29	10	13	130
D_3__Flavobacteriales_D_4__Crocinitomicaceae$8b8372389975e3ee41a25138d53db956	363	859	475	128	536	28	77	347
D_3__Cellvibrionales_D_4__Halieaceae$22f096c9f66c7cec15775354aa4a97ce	40	45	59	335	101	151	252	122
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$f9d378c4390cfb614482182bbdae11ea	0	0	6	3285	0	0	0	6
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$3d1222a800954082bf62e316211de67a	157	112	189	82	82	67	114	44
D_3__Caulobacterales_D_4__Caulobacteraceae$814db0e0e076f5b2aa0390599843b0e8	0	747	855	593	41	25	38	0
D_3__Pseudomonadales_D_4__Moraxellaceae$e5f45158c9ef96a9eb278f32307cb69b	0	0	0	0	0	0	0	163
D_3__PeM15$45ec55f1d548f2ff9faa10f5cb9830a8	143	246	143	134	86	117	169	71
