#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
45857c728fe38e208e256fecaab106c0	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
7a4211e72b091cfc4aed3cfcabd73ea8	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
e9a7e85b7b2017576c46d9550e3aeb93	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
af3512e86eeeef7c71a0d0265b5cfb14	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
7feecdf794cf86899fa740ee7a86d0a0	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
de05c74f1a4741be8ed2874fe5013187	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Bathycoccaceae		
ecc9ab50c1e53ad9c8b3cf46c211cde8	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
8bd5f3b13310e519562ac945e593d046	Eukaryota	Archaeplastida					NA			
653689c0090cd499534548cb2ac92fde	Eukaryota	Archaeplastida	Chlorophyta				NA			
6f73a0104c73f914320af81ee7f4cfe5	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
ba1e4c3a8b2a4f6055a3ef8afbe6eb25	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
ad6b9c1c869d82b088e4e389d07cc023	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
78d07a90a11a39d424eb006cc69f6ed3	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
7e10d2767fcac1cebd50e4c0afb42a61	Unassigned						NA			
88f6e433e66125716d2f27021bbdfe6a	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
2452d8574651d1741f591cce63d64c43	Eukaryota	Archaeplastida	Chlorophyta	Chlorodendrophyceae		Chlorodendrales	NA	Chlorodendraceae	Tetraselmis	Tetraselmis
10158f75e32c860722f29ac536c5d579	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
58cfa22827f8e57bc959f64621e8cd2f	Unassigned						NA			
23a6dc97fccc14c5f2c63e2d7e5842b7	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
1a3084b5ea6cbf31ab824f7a7f918b48	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
d1017a9bacb76c79a76a4daab04e133d	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
52cf4f622c2381df5acde77f8b06f47a	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
ab80aa6a6d79a3d92be11de5131588b3	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Bathycoccaceae		
8ba693fe4475657cb8bb3524835d1062	Eukaryota	Archaeplastida	Chlorophyta	Prasinophyceae		Pyramimonadales	NA	Pyramimonadaceae		
4dd4082b489cc95e0d20e29675e8509a	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
b3f47ada15473d8e649aa3e37668e59d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Cymatosirales	NA	Cymatosiraceae		
c2d4fce4edcc73b2b54e1561be2dfafb	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae			NA			
d48a8bccffbeebfc20568125d41d0294	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
bb52a5a740007cbad5aac0a1fe6cd565	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae			NA			
