#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Desulfobacterales_D_4__Desulfobacteraceae$733efda0dfa1e4aee08a104471720d97	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae		
D_3__Microtrichales_D_4__Ilumatobacteraceae$7e6d05039e9d3ab8fdeb8437abe74ec1	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae		
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$9e226c2e0b6cc98aefb15a444b658f9a	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$759684bdfc07068c417d96936a4c9d8f	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Limnobacter	
D_3__Flavobacteriales_D_4__Crocinitomicaceae$0b14ebbe72113447234286dc01a1df26	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens	
D_3__Micrococcales_D_4__Microbacteriaceae$f3d64f0bdb112501773f302fd53ec640	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	
D_3__Chitinophagales_D_4__uncultured$349423f938682795095e2647cc3026f2	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
D_3__Corynebacteriales_D_4__Mycobacteriaceae$c9c4123127533a2a7387fb64f9edc37e	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
D_3__Francisellales_D_4__Francisellaceae$1cf66acddae9a3e06ff902aceb9d5c4b	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	[Caedibacter]_taeniospiralis_group	Francisellaceae_bacterium
D_3__HOC36$a034059c5e481f5ecc188efdd0d21e41	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36			
