#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__PeM15$a51561d95d7a240b83bc0d94cc628c48	611	476	733	648	626	396	1041	344	115	167	103	221	555	329	389	315
D_3__Micrococcales_D_4__Microbacteriaceae$057db92f77a9906591e6f823afdc74fc	1223	1426	39	1106	6	673	17	123	6	128	11	38	76	56	16	694
D_3__Verrucomicrobiales_D_4__DEV007$4794a74ee8cfef390132d947fd723fcf	679	633	187	819	1071	224	556	155	276	679	94	236	3129	325	17	563
D_3__Rhodobacterales_D_4__Rhodobacteraceae$128836b13549428e8f9cf5b5983ba2e8	37	43	132	44	30	130	469	89	159	80	182	407	4560	69	31	29
D_3__UBA10353_marine_group_D_4__uncultured_gamma_proteobacterium$e753ed196a7c30d566bb315375851dd5	432	435	375	446	187	186	129	817	35	283	49	479	14	452	79	823
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6	11	5	2043	680	1164	3555	789	2807	158	62	93	162	30	0	32	115
D_3__Rhizobiales_D_4__Stappiaceae$36b47c444496536add955d37f2ef3fe0	0	0	6	4	31	1822	189	2442	14	15	368	102	17	6	0	0
D_3__Microtrichales_D_4__Microtrichaceae$8e6b0b634afa67d98925a405d5c6ea45	1882	1829	47	1672	34	671	6	826	22	1224	18	1023	8	489	48	992
D_3__SAR11_clade_D_4__Clade_I$2254682df5e48271de1302be391773d0	667	469	165	550	214	448	82	584	0	187	0	271	0	431	0	720
D_3__Parvibaculales_D_4__PS1_clade$3043d03bd8656e13196bdc5a2d4aef0d	672	323	4436	650	106	1382	15	115	65	259	888	1346	248	1975	2321	260
D_3__Oceanospirillales_D_4__Saccharospirillaceae$2c7999f223a152e08873cd26598582ff	0	0	118	56	2	79	0	87	0	0	0	43	0	16	0	5
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$9c4f1bddeef9f25d444242dcb63e6b25	263	105	117	101	10678	359	480	45	237	57	6	927	0	516	4	20
D_3__Cellvibrionales_D_4__Halieaceae$05e9a9d9d7d60f7fb08ec1b671fd51e9	426	372	691	434	592	454	272	225	134	352	77	379	34	613	343	863
D_3__Cellvibrionales_D_4__Porticoccaceae$e0a72fcbacef89e802959cfc22b91074	10	0	769	11	40	8	22	0	9	8	15	0	12	0	0	3
